"","county","Tract","FIPS","County","Bay Area"
"502","013",169250,"06013355113",82881,87000
"503","013",165082,"06013355114",82881,87000
"504","013",105635,"06013355115",82881,87000
"505","013",188086,"06013355116",82881,87000
"506","013",205441,"06013355117",82881,87000
"507","013",108438,"06013355200",82881,87000
"508","013",114200,"06013355301",82881,87000
"509","013",183654,"06013355302",82881,87000
"510","013",130080,"06013355304",82881,87000
"511","013",135185,"06013355306",82881,87000
"512","013",83476,"06013356001",82881,87000
"513","013",122927,"06013356002",82881,87000
"514","013",88617,"06013357000",82881,87000
"515","013",61250,"06013358000",82881,87000
"516","013",70886,"06013359102",82881,87000
"517","013",69255,"06013359103",82881,87000
"518","013",74306,"06013359104",82881,87000
"519","013",111536,"06013359105",82881,87000
"520","013",85118,"06013359202",82881,87000
"521","013",86519,"06013359203",82881,87000
"522","013",116607,"06013359204",82881,87000
"523","013",82606,"06013360101",82881,87000
"524","013",114599,"06013360102",82881,87000
"525","013",68523,"06013360200",82881,87000
"526","013",69792,"06013361000",82881,87000
"527","013",70716,"06013362000",82881,87000
"528","013",74456,"06013363000",82881,87000
"529","013",64145,"06013364002",82881,87000
"530","013",40900,"06013365002",82881,87000
"531","013",61976,"06013365003",82881,87000
"532","013",55196,"06013366001",82881,87000
"533","013",55841,"06013366002",82881,87000
"534","013",55000,"06013367100",82881,87000
"535","013",46130,"06013367200",82881,87000
"536","013",44817,"06013368001",82881,87000
"537","013",43966,"06013368002",82881,87000
"538","013",40000,"06013369001",82881,87000
"539","013",54487,"06013369002",82881,87000
"540","013",88274,"06013370000",82881,87000
"541","013",72066,"06013371000",82881,87000
"542","013",49041,"06013372000",82881,87000
"543","013",50238,"06013373000",82881,87000
"544","013",43795,"06013374000",82881,87000
"545","013",48688,"06013375000",82881,87000
"546","013",34958,"06013376000",82881,87000
"547","013",30388,"06013377000",82881,87000
"548","013",78625,"06013378000",82881,87000
"549","013",39071,"06013379000",82881,87000
"550","013",80545,"06013380000",82881,87000
"551","013",46162,"06013381000",82881,87000
"552","013",34107,"06013382000",82881,87000
"553","013",73344,"06013383000",82881,87000
"554","013",95986,"06013384000",82881,87000
"555","013",142566,"06013385100",82881,87000
"556","013",104135,"06013385200",82881,87000
"557","013",62227,"06013386000",82881,87000
"558","013",70379,"06013387000",82881,87000
"559","013",86582,"06013388000",82881,87000
"560","013",81563,"06013389100",82881,87000
"561","013",54048,"06013389200",82881,87000
"562","013",121979,"06013390100",82881,87000
"563","013",102788,"06013390200",82881,87000
"564","013",137336,"06013391000",82881,87000
"565","013",150179,"06013392000",82881,87000
"566","013",74750,"06013392200",82881,87000
"567","013",125875,"06013392300",82881,87000
"568","041",138140,"06041101100",100310,87000
"569","041",93088,"06041101200",100310,87000
"570","041",103958,"06041102100",100310,87000
"571","041",98505,"06041102202",100310,87000
"572","041",64306,"06041102203",100310,87000
"573","041",112708,"06041103100",100310,87000
"574","041",81585,"06041103200",100310,87000
"575","041",90573,"06041104101",100310,87000
"576","041",67917,"06041104102",100310,87000
"577","041",92054,"06041104200",100310,87000
"578","041",90625,"06041104300",100310,87000
"579","041",59779,"06041105000",100310,87000
"580","041",59081,"06041106001",100310,87000
"581","041",86047,"06041106002",100310,87000
"582","041",119413,"06041107000",100310,87000
"583","041",110768,"06041108100",100310,87000
"584","041",82000,"06041108200",100310,87000
"585","041",78750,"06041109001",100310,87000
"586","041",101705,"06041109002",100310,87000
"587","041",91827,"06041110100",100310,87000
"588","041",156417,"06041110200",100310,87000
"589","041",77122,"06041111000",100310,87000
"590","041",68667,"06041112100",100310,87000
"591","041",32452,"06041112201",100310,87000
"592","041",66568,"06041112202",100310,87000
"593","041",87038,"06041113000",100310,87000
"594","041",119044,"06041114100",100310,87000
"595","041",79091,"06041114200",100310,87000
"596","041",130921,"06041115000",100310,87000
"597","041",120638,"06041116000",100310,87000
"598","041",96607,"06041117000",100310,87000
"599","041",210000,"06041118100",100310,87000
